Symbol,Beta
A,1.2494
AAP,0.9211
AAPL,1.1002
ABBV,1.1157
ABMD,1.3486
ABT,1.0727
ACC,0.4847
ACGL,0.8787
ACHC,1.1001
ACM,1.403
ACN,1.1245
ADBE,1.3624
ADI,1.1977
ADP,1.0187
ADS,1.1079
ADSK,1.6877
AEE,0.2844
AEP,0.2389
AES,0.8352
AET,0.773
AFG,0.7833
AFL,1.1204
AGIO,2.1261
AGN,0.9558
AGNC,0.3311
AGO,0.871
AGR,0.5052
AHL,0.6947
AIG,0.9693
AIV,0.575
AIZ,0.8648
AJG,0.85
AKAM,1.3396
AL,1.443
ALGN,1.3717
ALKS,1.41
ALL,0.7473
ALLY,1.1452
ALNY,1.7133
ALXN,1.4531
AMAT,1.5915
AMD,1.9125
AMG,1.6378
AMGN,1.1515
AMH,0.6152
AMP,1.5699
AMT,0.6595
AMTD,1.4168
AMZN,1.2851
AN,0.9908
ANAT,0.8027
ANET,1.5022
ANSS,1.1022
ANTM,0.93
AON,0.7928
APA,1.4409
APC,1.4828
APH,0.9595
APLE,0.5925
AR,0.9518
ARE,0.7018
ARRS,1.123
ASB,1.1362
ATH,-0.522
ATHN,0.8823
ATO,0.3877
AVB,0.5305
AVGO,1.2945
AWK,0.3374
AXP,0.9506
AXS,0.5449
AZO,0.6471
AZPN,1.0858
BA,1.2248
BAC,1.4666
BAH,0.8076
BAX,0.896
BBT,1.094
BBY,0.9022
BDN,0.7368
BDX,0.861
BEN,1.4046
BFAM,0.7969
BGCP,1.1101
BHF,-0.2359
BHGE,1.1412
BIIB,1.1921
BIO,0.9154
BK,1.2248
BKI,-0.4059
BKU,1.1514
BLK,1.4153
BLUE,2.091
BMRN,1.42
BMY,0.7879
BOH,0.9608
BOKF,1.184
BPOP,1.0337
BR,0.9233
BRKR,1.066
BRO,0.4759
BRX,0.6331
BSX,0.9994
BURL,0.818
BWXT,0.6885
BXP,0.7303
C,1.4395
CA,0.9373
CACC,1.0412
CAG,0.5805
CASY,0.5121
CB,0.8037
CBOE,0.4706
CBSH,1.0206
CCI,0.5238
CDEV,-0.2337
CDK,0.8263
CDNS,1.0463
CDW,1.002
CELG,1.2207
CERN,0.9581
CFG,1.3012
CFR,1.2585
CGNX,1.4707
CHD,0.4361
CHE,0.8887
CHK,2.2046
CI,0.8201
CIM,0.5227
CINF,0.8188
CIT,1.1831
CL,0.5616
CLGX,0.8831
CLH,0.9604
CLNY,0.9858
CLR,1.5964
CLX,0.4245
CMA,1.3956
CME,0.7434
CMS,0.2279
CNA,0.9136
CNC,1.0605
CNDT,-0.5662
CNP,0.5537
CNX,-0.472
COF,1.2918
COG,1.0408
COHR,1.5043
COL,0.6757
COLM,0.9557
COMM,1.159
CONE,0.7687
COO,0.8065
COP,1.3377
COR,0.6674
COST,0.6832
COTY,0.646
CPB,0.3911
CPRT,1.0241
CPT,0.533
CRI,0.7217
CRL,1.0872
CRM,1.3292
CSCO,1.1916
CSGP,1.0832
CTLT,1.2134
CTSH,1.0807
CTXS,1.1247
CUBE,0.4091
CVS,0.8104
CVX,1.0087
CW,1.1708
CXO,1.3619
CXP,0.6149
CY,1.6273
D,0.2574
DATA,1.8113
DEI,0.6855
DFS,1.1745
DG,0.6634
DGX,0.8845
DHR,0.9286
DKS,0.9107
DLB,0.8642
DLR,0.6129
DLTR,0.8528
DNB,0.9219
DOX,0.6997
DRE,0.6827
DTE,0.2407
DUK,0.1875
DVA,0.8464
DVMT,-0.3966
DVN,1.7426
DXC,-0.2811
DXCM,1.0589
ED,0.1253
EEFT,1.0135
EFX,0.9125
EGN,1.5282
EIX,0.28
EL,0.8439
ELS,0.3747
ENR,0.8859
EOG,1.141
EPAM,1.2612
EPR,0.5838
EQC,0.5441
EQIX,0.7094
EQR,0.4828
EQT,1.0752
ERIE,0.5965
ES,0.2552
ESRT,0.6219
ESRX,0.845
ESS,0.5123
ETFC,1.5268
ETR,0.3096
EV,1.3506
EVR,1.5308
EW,1.0108
EWBC,1.356
EXAS,1.758
EXC,0.4142
EXEL,1.6683
EXR,0.4284
FAF,0.8549
FANG,1.2505
FB,1.2134
FCNCA,1.1941
FDC,1.4238
FDS,0.9248
FE,0.3799
FEYE,1.483
FFIV,1.0231
FHB,-0.3479
FHN,1.2361
FICO,1.2104
FIS,0.9279
FISV,0.8375
FITB,1.2691
FL,0.8161
FLIR,0.896
FLO,0.5662
FLR,1.269
FLT,1.2403
FNB,1.1396
FND,-0.5971
FNF,0.7328
FRC,1.0745
FRT,0.5336
FSLR,1.4342
FTNT,1.2966
FTV,-0.3092
G,0.7356
GD,0.8881
GDDY,1.2286
GILD,1.03
GIS,0.5522
GLPI,0.535
GLW,1.2178
GOOG,1.214
GOOGL,1.2091
GPN,1.235
GPS,0.9062
GRMN,1.0428
GRUB,1.0646
GS,1.3706
GWRE,1.2916
HAIN,0.946
HAL,1.1607
HBAN,1.2596
HBI,1.0008
HCA,0.8699
HCP,0.564
HD,0.9118
HE,0.3713
HEI,0.8969
HES,1.6415
HFC,1.3095
HGV,-0.4159
HHC,0.9719
HIG,1.0046
HII,0.9398
HIW,0.6765
HOLX,0.9672
HP,1.3088
HPE,1.3811
HPP,0.7701
HPQ,1.373
HPT,-0.3367
HRC,0.92
HRL,0.5306
HRS,0.8839
HST,1.1024
HSY,0.4527
HTA,0.4087
HUM,0.7005
HXL,1.0726
IAC,1.1425
IART,0.6266
IBKR,1.3918
IBM,0.9204
ICE,1.0207
ICUI,0.8729
IDXX,1.1169
IFF,0.8714
ILMN,1.5245
INCY,1.5777
INTC,1.3104
INTU,1.1374
INVH,-0.4784
IONS,1.7159
IPG,0.9442
IPGP,1.285
IQV,0.9581
IRM,0.7836
ISRG,1.1044
IT,0.9581
IVZ,1.5537
JAZZ,1.1255
JBGS,-0.3974
JBL,1.1913
JCI,0.9866
JEC,1.2307
JEF,1.2204
JKHY,0.7579
JLL,1.3198
JNJ,0.6737
JNPR,1.0118
JPM,1.2583
JWN,0.9578
K,0.4303
KAR,0.8254
KDP,-0.0064
KEY,1.3257
KEYS,1.154
KHC,0.8137
KIM,0.6575
KLAC,1.2684
KMB,0.5443
KMI,1.3084
KMX,1.1924
KO,0.5196
KORS,0.9065
KOS,1.6664
KR,0.5679
KRC,0.8135
KSS,0.8995
L,0.9459
LAMR,0.726
LAZ,1.5523
LB,0.8673
LDOS,1.0569
LH,0.8834
LLL,0.8526
LLY,0.8114
LM,1.5465
LMT,0.6597
LNC,1.6555
LNT,0.1313
LOGM,1.2991
LOPE,0.7876
LOW,1.0402
LPLA,1.3079
LPT,0.6955
LRCX,1.5654
LSI,0.418
LULU,0.8412
LW,-0.4868
M,0.9418
MA,1.2282
MAA,0.4994
MAC,0.7634
MAN,1.4483
MANH,1.3312
MASI,0.9421
MCHP,1.3018
MCO,1.3011
MCY,0.7766
MD,0.6434
MDLZ,0.9727
MDT,0.7897
MDU,0.6815
MET,1.3397
MFA,0.5381
MIC,1.0001
MIK,0.9529
MKC,0.5465
MKL,0.6984
MKSI,1.4267
MKTX,0.634
MMC,0.8267
MNST,0.845
MO,0.4669
MOH,0.9535
MORN,0.8016
MPC,1.4645
MPW,0.7856
MPWR,1.4523
MRK,0.7675
MRO,1.8651
MRVL,1.3284
MS,1.6216
MSCI,1.0803
MSFT,1.3128
MSI,0.7901
MTB,1.0973
MTD,1.1107
MU,1.8916
MUR,1.6587
MXIM,1.227
MYL,1.2532
NATI,0.8853
NAVI,1.3603
NBIX,1.457
NBL,1.355
NBR,1.864
NCR,1.518
NDAQ,0.8144
NEE,0.2451
NFG,0.7094
NFX,1.5743
NI,0.332
NKE,0.9875
NKTR,1.5195
NLSN,0.9053
NLY,0.301
NNN,0.4344
NOC,0.677
NOV,1.2544
NOW,1.5013
NRG,1.1637
NRZ,0.7999
NTAP,1.3588
NTNX,-0.575
NTRS,1.3282
NUAN,1.064
NUS,1.077
NVDA,1.7085
NXPI,1.1242
NYCB,0.8203
O,0.4191
OFC,0.5724
OGE,0.5388
OHI,0.5327
OKE,1.2801
OKTA,-0.5688
OLED,1.7629
OMC,0.7832
OMF,1.5883
ON,1.7039
ORCL,1.0353
ORI,0.7838
ORLY,0.8061
OUT,0.8573
OXY,0.9819
PACW,1.3664
PAG,1.238
PANW,1.1364
PAYC,1.5769
PAYX,0.9226
PB,1.355
PBCT,0.9922
PBF,1.4153
PCG,0.4275
PE,1.3314
PEG,0.3103
PEGA,1.3098
PEN,0.9359
PEP,0.4854
PFE,0.7648
PFG,1.4886
PFPT,1.4979
PG,0.509
PGR,0.7902
PGRE,0.6758
PINC,0.6625
PK,-0.4734
PKI,1.1855
PLD,0.8103
PM,0.5421
PNC,1.1119
PNFP,1.1674
PNW,0.2697
PODD,1.2512
POST,0.8502
PPC,0.6625
PPL,0.3994
PRAH,1.1143
PRGO,0.8875
PRU,1.4455
PSA,0.4223
PSTG,-0.0979
PSX,1.0617
PTC,1.3081
PTEN,1.6762
PVH,1.1334
PWR,1.1426
PXD,1.25
PYPL,1.2689
QCOM,1.2132
QEP,1.7742
QGEN,1.034
QRTEA,0.9722
QRVO,1.5868
R,1.4752
RE,0.6065
REG,0.5131
REGN,1.1813
RES,1.3524
RF,1.3892
RGA,0.9498
RHI,1.2705
RHT,1.104
RIG,1.6916
RJF,1.4618
RL,1.0308
RLGY,0.9616
RMD,0.8901
RNG,1.5867
RNR,0.5471
ROST,0.8254
RP,1.085
RPAI,0.5281
RRC,1.2985
RSG,0.632
RTN,0.6847
RYN,0.7875
SABR,1.0359
SAGE,1.8805
SATS,0.9974
SBAC,0.8932
SBNY,1.1117
SC,1.179
SCG,0.4183
SCHW,1.6368
SEB,0.7149
SEIC,1.2971
SFM,0.6801
SGEN,1.565
SIVB,1.8757
SJM,0.4993
SKX,1.2021
SLB,1.0166
SLG,0.8796
SLM,1.2965
SM,2.1511
SNH,0.5738
SNPS,0.9921
SNV,1.2373
SO,0.1504
SPG,0.5901
SPGI,1.2151
SPLK,1.71
SPR,1.0729
SQ,-0.3237
SRC,0.4932
SRCL,0.8244
SRE,0.4202
SRPT,2.2097
SSNC,1.5432
ST,1.3737
STE,0.9558
STI,1.3009
STL,1.2199
STOR,0.4348
STT,1.4473
STWD,0.5131
STZ,0.6526
SUI,0.4204
SWCH,-0.3064
SWKS,1.6232
SYF,1.3579
SYK,0.848
SYMC,0.9237
TAP,0.7376
TCBI,1.482
TCO,0.6039
TDC,1.2848
TDG,0.9877
TDY,1.2043
TECH,0.8938
TER,1.3879
TFSL,0.7508
TFX,0.9217
TGT,0.6459
THG,0.7101
THS,0.724
TIF,1.035
TJX,0.2662
TMK,0.9896
TMO,1.0999
TPR,1.0133
TRGP,1.5671
TRMB,1.3586
TROW,1.3079
TRU,1.016
TRV,0.7947
TSCO,0.8888
TSN,0.4885
TSRO,1.4652
TSS,1.1194
TWO,0.4291
TWOU,1.3774
TWTR,1.2433
TXN,1.255
TYL,0.9778
UA,-0.0987
UAA,1.3033
UBNT,1.1618
UDR,0.5553
UGI,0.5206
UHAL,0.8347
UHS,0.8009
ULTA,0.8695
ULTI,1.1768
UMPQ,1.105
UNH,0.9134
UNIT,1.0546
UNM,1.3712
URBN,0.9538
URI,1.8492
USB,1.0296
UTHR,1.1084
V,1.19
VAR,0.8616
VEEV,1.3385
VER,0.6328
VFC,0.9167
VICI,-0.4393
VIRT,0.1313
VLO,1.1484
VMW,1.0853
VNO,0.708
VOYA,1.4674
VRSK,0.8477
VRSN,1.0078
VRTX,1.4965
VST,1.305
VTR,0.4573
VVC,0.3923
W,1.404
WAL,1.3285
WAT,0.9977
WBA,0.8912
WBS,1.2359
WCG,0.8514
WDAY,1.5671
WDC,1.6608
WEC,0.2473
WEX,1.3557
WFC,1.1295
WFT,2.0498
WLL,2.3534
WLTW,0.9029
WM,0.6402
WMB,1.8304
WMT,0.5659
WPC,0.5821
WPX,1.8921
WRB,0.7027
WRI,0.5901
WSM,0.9526
WST,0.8297
WTFC,1.2322
WTM,0.3704
WTR,0.4278
WU,0.99
WY,1.0247
XEC,1.2597
XEL,0.2084
XLNX,1.2682
XOG,0.0001
XOM,0.8505
XRAY,0.7364
XRX,0.9429
Y,0.846
Z,0.9449
ZBH,0.9226
ZBRA,1.3353
ZEN,1.6067
ZG,0.9397
ZION,1.3728
ZNGA,1.1142
ZTS,0.9678
